game_id,white_player,wn_pair,wn_outpost,wn_repositioning,wn_mobility,wb_pair,wk_side_fianchetto,wq_side_fianchetto,wb_mobility,wlong_diagonal_control,wopposite_color_b,b_p_coherency,wn_b_trade_pref,wn_b_develop_pref,wopen_files,wsemi_open_files,wback_rank_r,wdoubled_r,wdoubled_with_q,wr_mobility,wq_aggression,wq_fianchetto,wq_invasion,wq_mobility,A,B,C,D,E,A#,B#,C#,D#,E#,w_development_side,wc_earliness,wc_side,wc_relative,wc_artificial,wc_development,wp_king_protection,wp_center_strength,wp_doubled,wp_isolated,wp_backward,wp_tension,wp_color,wp_forwardness,wp_guarded_forwardness,wp_en_passant,wp_storming,wp_chain_count,wp_longest_chain,wp_non_queen,wb_rank,wb_file,wb_density,wb_attack,wb_pawn_pref,wb_minor_pref,wb_rook_pref,wb_queen_pref,wcl_MLL,wcl_ML,wcl_MM,wcl_MR,wcl_MRR,wcl_BL,wcl_BM,wcl_BR,discovered_checks_set_up,discovered_checks_given,discovered_checks_chances,P_moves,N_moves,B_moves,R_moves,Q_moves,K_moves,pins_given,time_pinned,fork_counter,pieces_guarded,num_trades,num_direct_trades,num_indirect_trades,num_direct_trades_white,num_indirect_trades_white,avg_time_between_direct_trade,exchanges_possible,king_squares_attacked,king_moves,king_moves_weighted,distance_from_king
https://lichess.org/qPHZefi6,Kelevra317,0,0.0,0.016872176666023066,2.306451612903226,0,0,0,3.0,0.1935483870967742,-1,-7.0,0.0,0.2857142857142857,0.16129032258064516,0.25806451612903225,0.0,0.0,0.25806451612903225,5.0,0.15789473684210525,0.0,0.0,3.34,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0714285714285714,0.07142857142857142,1,1,0,0.0,2.0,3.1714242950312057,0.16129032258064516,0.6129032258064516,1.3225806451612905,0.2258064516129032,-0.33333333333333337,2.3087557603686637,1.6451612903225807,0.0,0.2065409182992603,0.0,2.0,0.0,1.70343688569495,0.3595098449937158,0.4085731819230625,37.935483870967744,0.4888337468982631,0.4998463901689708,0.4946236559139785,0.5,0.0,0.10483870967741936,0.5,0.06451612903225806,0.06451612903225806,0.3763440860215056,0.3870967741935484,0.33333333333333337,0,0,0,0.3818181818181819,0.2727272727272728,0.1090909090909091,0.1090909090909091,0.09090909090909093,0.054545454545454536,9,1.0,0,0.0035829529801582726,6,5,1,1,1,1.25,0.96,0.0,0,0,3.4787650590150587
https://lichess.org/ugf4ZZEg,Kelevra317,0,0.0,0.05005609122150475,3.071428571428572,0,0,0,3.0,0.0,-1,-0.14285714285714285,1.1807228915662649,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.9285714285714288,0.43478260869565216,0.0,0.0,2.5405405405405403,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0714285714285714,0.029411764705882356,-1,0,0,0.6666666666666667,1.9,0.6468821131461738,0.0,0.42857142857142855,0.5714285714285714,0.21428571428571427,-0.33333333333333337,1.6326530612244894,0.5,0.0,0.1923631529106316,0.0,1.2142857142857142,0.0,1.3224275724275725,0.008782883782883737,0.3643964623678346,30.642857142857146,0.4835164835164836,0.511904761904762,0.5,0.5357142857142857,0.0,0.05357142857142857,0.3928571428571429,0.07142857142857142,0.0,0.023809523809523808,0.25,0.0,0,0,0,0.3720930232558137,0.20930232558139533,0.09302325581395347,0.13953488372093026,0.04651162790697674,0.16279069767441862,2,1.5,0,0.0141287284144427,5,5,0,4,0,1.0,0.8333333333333334,0.0,0,0,3.625099367599367
https://lichess.org/VYokpuOL,Kelevra317,0,0.0,0.1037037037037037,0.5555555555555556,1,0,0,3.0,0.0,0,1.9583333333333333,-1.4782608695652173,0.12903225806451613,0.1111111111111111,0.0,0.0,0.0,0.0,4.777777777777779,0.0,0.0,0.0,0.59375,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.3809523809523809,0.125,1,0,0,0.0,2.8,1.5767141996279923,0.6666666666666666,0.6666666666666666,0.0,0.0,-0.1428571428571429,1.6507936507936505,1.8888888888888888,0.0,0.1967627524526644,0.0,1.0,0.0,1.214193214193214,-0.4547397047397048,0.3858762608762609,33.0,0.5384615384615384,0.4624338624338625,0.5,0.5,0.0,0.0,0.027777777777777776,0.0,0.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,0,0,0,0.3750000000000001,0.1,0.175,0.225,0.0,0.15,2,1.0,0,0.006108089441422775,6,5,1,0,0,1.0,0.0625,0.1111111111111111,1,22,3.515151792651793
https://lichess.org/NIraJ1ES,Kelevra317,0,0.0,0.04528153470461163,1.8461538461538465,1,0,0,2.3076923076923075,0.0,0,0.5454545454545454,-0.1111111111111111,0.5263157894736842,0.038461538461538464,0.4615384615384616,0.0,0.0,0.15384615384615385,3.28,0.0,0.0,0.0,4.045454545454546,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.07142857142857142,1,1,0,0.33333333333333337,1.6,2.2142009588432012,0.0,0.0,0.6923076923076923,0.0,0.0,1.8516483516483515,0.0,0.0,0.1721939795127308,1.0,3.0,0.0,1.5408072696534236,0.2753297984067216,0.3975252033067776,38.307692307692314,0.49260355029585795,0.5346153846153845,0.4551282051282052,0.5,0.0,0.25,0.3461538461538461,0.2692307692307692,0.0,0.3333333333333333,0.09615384615384616,0.4358974358974357,1,0,0,0.3750000000000001,0.15,0.15,0.1,0.1,0.15,4,0.0,0,0.0019472227312464,4,4,0,1,0,1.0,0.6363636363636364,0.2692307692307692,0,0,3.4754145559827383
https://lichess.org/cjQQeaEA,Kelevra317,1,0.0,0.05090829593400358,2.571428571428572,0,0,0,0.75,0.0,0,1.0,1.3783783783783785,0.9333333333333332,0.07142857142857142,1.8214285714285716,0.0,0.0,0.21428571428571427,7.892857142857142,0.21739130434782608,0.0,0.0,3.901960784313725,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,-0.08571428571428563,0.0625,1,1,0,0.6666666666666667,3.2,2.0492343244972946,0.8214285714285714,0.5,0.32142857142857145,0.07142857142857142,-0.2,1.5549319727891155,0.03571428571428571,0.0,0.16411989191280735,0.0,1.25,0.0,1.4899606346034917,0.053461419532848095,0.38893891098829575,36.392857142857146,0.4953796203796204,0.4950680272108843,0.5059523809523809,0.5,0.0,0.14285714285714285,0.42857142857142855,0.03571428571428571,0.0,0.38095238095238093,0.125,0.20238095238095236,0,0,0,0.28205128205128205,0.23076923076923075,0.1282051282051282,0.17948717948717946,0.15384615384615385,0.05128205128205128,14,1.0,0,0.002581051318296216,7,7,0,2,0,1.2,0.12,0.0,0,0,3.463267364443835
https://lichess.org/C9R1jqFo,Kelevra317,1,0.0,0.12734793586186774,2.2241379310344827,0,0,0,1.3448275862068966,0.0,0,0.3333333333333333,0.4727272727272727,0.9333333333333332,0.0,1.3793103448275863,0.0,0.0,0.0,6.413793103448277,0.0,0.0,0.0,4.208333333333333,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0625,1,1,0,0.6666666666666667,3.2,1.6656821299204134,0.7586206896551724,0.0,0.4137931034482759,0.03448275862068965,-0.33333333333333337,1.3842364532019709,0.0,0.0,0.15859967843642556,0.0,1.7586206896551724,0.0,1.2178143695385075,0.11472607851918205,0.4010002004731921,35.586206896551715,0.5013262599469496,0.4952380952380952,0.5,0.4827586206896552,0.0,0.017241379310344827,0.25862068965517243,0.10344827586206896,0.0,0.5977011494252873,0.0,0.10344827586206896,0,0,0,0.21176470588235305,0.1176470588235294,0.05882352941176471,0.38823529411764734,0.023529411764705882,0.21176470588235305,5,1.0,0,0.0022392286007030357,7,6,1,2,0,1.0,0.4166666666666667,0.3448275862068966,0,0,3.428022941564606
https://lichess.org/3izHaez7,Kelevra317,0,0.0,0.014702889702889703,3.180555555555556,0,0,0,2.1944444444444446,0.0,1,-2.4,0.3829787234042553,0.26666666666666666,0.4166666666666667,0.027777777777777776,0.0,0.08333333333333333,0.0,4.388888888888889,0.0,0.0,0.0,2.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952380952379,0.05555555555555555,-1,1,0,0.6666666666666667,2.8000000000000003,1.892170212990378,0.0,0.25,1.6944444444444444,0.05555555555555555,-0.2,1.6466931216931229,0.027777777777777776,0.0,0.16883939440114135,0.5555555555555556,2.555555555555556,0.0,1.4203381495048162,-0.2618347701681035,0.4079956610416493,36.66666666666666,0.4976689976689977,0.4906084656084657,0.4953703703703704,0.5,0.0,0.04861111111111111,0.2222222222222222,0.0,0.0,0.4814814814814815,0.7916666666666666,0.5462962962962963,0,0,0,0.3461538461538461,0.1153846153846154,0.15384615384615385,0.2692307692307693,0.07692307692307693,0.07692307692307693,7,3.0,0,0.0016755026890608905,6,6,0,1,0,1.0,0.16,0.05555555555555555,1,32,3.3611878658378656
https://lichess.org/3crjSMZJ,Kelevra317,0,0.06382978723404255,0.4806068362825488,3.1595744680851063,0,0,1,1.7872340425531914,1.0212765957446808,-1,0.3627450980392157,1.3658536585365857,1.3548387096774193,0.0,0.6382978723404256,0.0,0.1914893617021277,0.0,3.9166666666666665,0.0,0.0,0.0,4.825,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-0.08571428571428563,0.03125,1,1,0,0.6666666666666667,2.2,2.012884245607895,0.0,0.4680851063829787,1.3404255319148937,0.23404255319148934,-0.2,2.252684903748735,0.2553191489361702,0.0,0.2092896414964572,0.9361702127659576,2.9148936170212765,0.0,2.0357549070315035,0.7889011697522338,0.439439143100411,37.361702127659576,0.4904776074988842,0.4936170212765957,0.4858156028368794,0.5,0.0,0.13829787234042554,0.4148936170212766,0.07446808510638298,0.5212765957446809,0.2624113475177306,0.4680851063829787,0.5602836879432627,0,0,0,0.19101123595505615,0.3483146067415732,0.07865168539325842,0.05617977528089888,0.14606741573033707,0.19101123595505615,11,1.2,0,0.003337389937661553,6,6,0,1,0,1.2,0.425,0.7021276595744681,1,34,3.012376378251376
https://lichess.org/uCVnnYdK,Kelevra317,0,0.0,0.03165208647561589,2.62,0,0,0,2.08,0.16,0,0.0,0.0,0.9268292682926829,0.0,0.16,0.0,0.0,0.0,3.72,0.0,0.0,0.0,3.8979591836734695,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.3,2.3433529268120044,0.04,0.0,1.6,0.04,0.0,2.5019047619047607,1.0,0.0,0.2119947306503321,0.0,1.92,0.0,1.6198095238095245,0.3979194139194139,0.36391303755841947,38.64,0.5015384615384615,0.5028571428571429,0.5,0.52,0.0,0.01,0.33,0.46,0.5,0.4933333333333333,0.44,0.0,0,0,0,0.4,0.2,0.2,0.04,0.16,0.0,1,3.0,0,0.002366554334554335,4,4,0,3,0,1.0,0.625,0.36,0,0,3.314492620002825
https://lichess.org/45jW0lzk,Kelevra317,0,0.0,0.06916503975327505,1.9722222222222223,0,0,0,2.7777777777777777,0.0,-1,-1.0,0.0,0.0,0.8888888888888888,0.0,0.024390243902439025,0.0,0.0,4.833333333333333,0.21739130434782608,0.0,0.0,2.7073170731707314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3809523809523809,0.1,1,1,0,0.0,2.8,2.2286152534491444,0.0,0.0,1.0,0.0,-0.7142857142857143,1.5000000000000009,0.0,0.0,0.1649961576805705,1.0,3.0,0.0,1.5353581603581603,0.33216320716320713,0.42440429940429947,38.333333333333336,0.5,0.5148148148148147,0.5092592592592592,0.5,0.0,0.0,0.25,0.04166666666666666,0.0,0.3333333333333333,0.08333333333333333,0.4074074074074073,1,0,1,0.18181818181818185,0.1212121212121212,0.07070707070707072,0.4343434343434346,0.020202020202020204,0.18181818181818185,3,1.0,0,0.0038046058879392217,6,5,1,5,0,0.0,0.5,1.1111111111111112,1,30,3.383092230714181
